video_path,subject_consistency,background_consistency,temporal_flickering,motion_smoothness,dynamic_degree,aesthetic_quality,imaging_quality,object_class,multiple_objects,human_action,color,spatial_relationship,scene,temporal_style,appearance_style,overall_consistency
A giraffe and a turtle are having a conversation_3.mp4,0.8907342887164762,0.9652976221686241,0.9782281445521934,0.9891816036831707,1,0.7099728584289551,73.2074981689453,0,0,0,0,0,0,0.19918686151504517,0,0.19918686151504517
apples on the table_3.mp4,0.9919951578114656,0.9862068739513423,0.9960424441917269,0.9962291744406618,0,0.67999267578125,72.8052810160319,0,0,0,0,0,0,0.20389020442962646,0,0.20389020442962646
person showing finger_3.mp4,0.9762411491582857,0.9793348888422819,0.9790947988921521,0.9934241598845023,1,0.37703391909599304,68.62512062072754,0,0,0,0,0,0,0.1866418868303299,0,0.1866418868303299
A giraffe and a turtle are having a conversation_6.mp4,0.9351644648001498,0.929431889681208,0.9927180023754344,0.9949266146484685,0,0.5883784890174866,74.5842664082845,0,0,0,0,0,0,0.2077687382698059,0,0.2077687382698059
Rabbit and turtle at the starting line_3.mp4,0.8868488226281969,0.9309130216899671,0.9654074762381759,0.9900322278318481,1,0.6717727184295654,76.68778717439938,0,0,0,0,0,0,0.3084312379360199,0,0.3084312379360199
Rabbit and turtle at the starting line_4.mp4,0.9502850463123698,0.9769495913856908,0.991940731160781,0.9962003721261897,1,0.7155022025108337,78.29771398407182,0,0,0,0,0,0,0.31510430574417114,0,0.31510430574417114
person showing finger_2.mp4,0.9069505659925857,0.9484240640729866,0.9810773942984786,0.9901412156146365,1,0.3901706039905548,68.44049324035645,0,0,0,0,0,0,0.18358448147773743,0,0.18358448147773743
Rabbit and turtle at the starting line_5.mp4,0.9171293956276617,0.9551375539679277,0.9806442260742188,0.9932178908463254,1,0.7282392978668213,71.7344312979505,0,0,0,0,0,0,0.3186536431312561,0,0.3186536431312561
A giraffe and a turtle are having a conversation_5.mp4,0.8906974454454127,0.9262252910025168,0.9847283914977429,0.9876944143913166,0,0.6371598243713379,69.21064356486002,0,0,0,0,0,0,0.19972889125347137,0,0.19972889125347137
The rabbit and the tortoise are crossing the finish line_1.mp4,0.9788906882075887,0.9699803402549342,0.9849447540208405,0.9953773795053666,0,0.7238661050796509,68.9994334551244,0,0,0,0,0,0,0.2706611454486847,0,0.2706611454486847
apples on the table_0.mp4,0.9252708244243725,0.9641785077600671,0.9948809380624809,0.9961792183766629,0,0.6660007834434509,70.81355478922526,0,0,0,0,0,0,0.23114359378814697,0,0.23114359378814697
A giraffe and a turtle are having a conversation_2.mp4,0.9213114874874986,0.96574494022651,0.9818462596220129,0.9858303264260955,0,0.7168512940406799,75.8088835144043,0,0,0,0,0,0,0.17704902589321136,0,0.17704902589321136
apples on the table_8.mp4,0.9139882882169429,0.9578587064807047,0.9755614841685576,0.9936964839288248,1,0.5986300706863403,71.21643188476563,0,0,0,0,0,0,0.22177843749523163,0,0.22177843749523163
